,0
828,18.609167
829,9.651476
830,9.772169
831,2.3727016
832,12.095549
833,3.7706084
834,3.2938414
835,2.740871
836,5.154069
837,3.8816938
838,6.730993
839,2.5217528
840,144.10843
841,2.9206371
842,27.830366
843,6.949563
844,2.2149467
845,2.120706
846,4.8849654
847,2.2598126
848,104.61169
849,4.3025856
850,4.12981
851,28.802828
852,5.800352
853,4.0910397
854,5.761218
855,31.282692
856,23.84207
857,31.492823
858,7.695519
859,6.1019225
860,2.5811348
861,6.021357
862,2.9444137
863,5.7624598
864,18.100315
865,13.289846
866,2.0409896
867,4.954913
868,143.78325
869,7.8848686
870,6.3927917
871,5.855404
872,12.392964
873,9.72271
874,14.557294
875,7.821887
876,3.9444218
877,2.2844334
878,11.269001
879,1.928714
880,99.093315
881,30.797974
882,9.752761
883,3.726809
884,3.133924
885,3.1302514
886,2.4509642
887,2.8688793
888,32.46471
889,6.1849837
890,3.3787107
891,7.757069
892,3.8135157
893,8.026815
894,3.9974432
895,18.843445
896,2.2783265
897,8.849397
898,15.831967
899,3.145784
900,5.656842
901,2.5029807
902,33.616936
903,3.0626087
904,112.37783
905,2.8392391
906,2.021444
907,4.5363526
908,3.5424752
909,2.3370762
910,5.8008447
911,3.976211
912,3.6941814
913,41.966885
914,77.39437
915,3.7421408
916,3.1558533
917,9.218606
918,33.823063
919,4.378929
920,2.7316337
921,7.2118216
922,4.7843933
923,3.7921424
924,1.9247452
925,2.603126
926,4.0838304
927,11.402945
928,4.3231225
929,49.539085
930,3.8137512
931,3.032744
932,27.25475
933,27.555494
934,5.158739
935,88.99881
936,3.635572
937,108.753365
938,3.6898494
939,1.940896
940,1.9199641
941,4.3813286
942,9.09329
943,2.5806346
944,5.5345564
945,2.654889
946,2.559423
947,37.275997
948,7.654408
949,101.24538
950,4.8615246
951,2.0735025
952,2.9631166
953,3.645235
954,4.807018
955,3.1511445
956,5.1678605
957,8.004261
958,12.11567
959,2.2142806
960,6.9200625
961,3.3392496
962,5.703173
963,3.9291902
964,4.0000825
965,4.27274
966,54.98001
967,12.235757
968,13.1565695
969,2.3125324
970,6.0846863
971,4.0887136
972,2.7539907
973,3.7023983
974,2.9084773
975,2.7272844
976,49.195763
977,8.689569
978,2.222324
979,1.852265
